	SC182	GRO-09_nasal_brush	D353_Brus_Nas1	SC173	D363_Brus_Nas1	SC184	SC174_SC173	SC174_SC172	GRO-04_nasal_brush	SC183	SC181	SC185
M6PR	2269.0	1887.0	1910.0	1371.0	1087.0	1220.0	724.0	666.0	1400.0	1469.0	1070.0	249.0
KLHL13	35.0	81.0	25.0	8.0	11.0	49.0	7.0	5.0	105.0	31.0	17.0	6.0
CYP26B1	25.0	30.0	45.0	16.0	11.0	3.0	1.0	3.0	8.0	6.0	0.0	8.0
ICA1	1310.0	1990.0	1494.0	729.0	716.0	813.0	346.0	520.0	925.0	483.0	354.0	101.0
DBNDD1	166.0	88.0	233.0	135.0	146.0	95.0	69.0	62.0	138.0	61.0	45.0	25.0
ALS2	482.0	349.0	392.0	159.0	216.0	268.0	87.0	93.0	250.0	200.0	89.0	60.0
CASP10	316.0	1243.0	313.0	93.0	213.0	151.0	44.0	64.0	279.0	229.0	79.0	26.0
CFLAR	3691.0	7214.0	3653.0	1577.0	1971.0	2558.0	702.0	837.0	2787.0	1965.0	1123.0	663.0
TFPI	234.0	398.0	148.0	41.0	112.0	442.0	22.0	69.0	188.0	406.0	86.0	26.0
NDUFAF7	432.0	403.0	300.0	147.0	189.0	196.0	77.0	88.0	352.0	238.0	96.0	44.0
RBM5	1828.0	2910.0	2502.0	757.0	1683.0	1280.0	310.0	375.0	1581.0	826.0	358.0	215.0
MTMR7	59.0	26.0	29.0	5.0	4.0	33.0	4.0	5.0	40.0	22.0	5.0	9.0
SLC7A2	777.0	411.0	630.0	84.0	196.0	404.0	25.0	96.0	523.0	79.0	44.0	129.0
ARF5	8394.0	3010.0	1988.0	5157.0	2324.0	5216.0	2743.0	2919.0	4212.0	5327.0	3375.0	1058.0
SARM1	324.0	328.0	455.0	178.0	212.0	193.0	74.0	87.0	193.0	131.0	42.0	43.0
POLDIP2	1764.0	2019.0	2194.0	1530.0	1554.0	1230.0	677.0	686.0	1349.0	1343.0	639.0	349.0
PLXND1	35.0	21.0	28.0	13.0	16.0	19.0	5.0	26.0	12.0	35.0	66.0	8.0
AK2	3284.0	4036.0	2519.0	1577.0	1598.0	1824.0	843.0	973.0	2378.0	2180.0	1402.0	313.0
CD38	337.0	770.0	429.0	118.0	116.0	378.0	50.0	54.0	1134.0	61.0	181.0	55.0
FKBP4	2109.0	2180.0	1033.0	741.0	694.0	861.0	354.0	446.0	744.0	1683.0	758.0	119.0
KDM1A	2336.0	1427.0	820.0	850.0	465.0	1045.0	423.0	444.0	752.0	1540.0	682.0	280.0
RBM6	1516.0	3187.0	1597.0	629.0	1039.0	928.0	333.0	409.0	1256.0	798.0	398.0	133.0
CAMKK1	221.0	47.0	108.0	75.0	56.0	79.0	46.0	49.0	38.0	64.0	50.0	11.0
RECQL	943.0	1492.0	862.0	465.0	483.0	816.0	212.0	234.0	723.0	455.0	266.0	140.0
VPS50	463.0	389.0	440.0	174.0	272.0	257.0	84.0	89.0	213.0	308.0	112.0	49.0
HSPB6	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ARHGAP33	61.0	34.0	50.0	20.0	26.0	50.0	12.0	4.0	72.0	14.0	13.0	15.0
NDUFAB1	7133.0	10663.0	6238.0	3638.0	3863.0	5010.0	1978.0	2244.0	10013.0	5235.0	2772.0	770.0
PDK4	288.0	355.0	181.0	50.0	121.0	130.0	21.0	47.0	430.0	74.0	56.0	24.0
SLC22A16	274.0	4.0	124.0	1.0	5.0	283.0	1.0	1.0	25.0	641.0	354.0	48.0
ZMYND10	3765.0	5656.0	1739.0	557.0	569.0	3059.0	238.0	203.0	9189.0	324.0	271.0	376.0
ABCB5	3.0	9.0	52.0	1.0	25.0	6.0	0.0	1.0	13.0	0.0	0.0	2.0
ARX	23.0	67.0	34.0	4.0	14.0	42.0	1.0	2.0	71.0	1.0	8.0	7.0
SLC25A13	990.0	1309.0	669.0	569.0	461.0	591.0	308.0	351.0	668.0	676.0	434.0	102.0
ST7	457.0	365.0	310.0	149.0	227.0	225.0	94.0	84.0	253.0	287.0	155.0	65.0
CDC27	836.0	1112.0	852.0	398.0	637.0	439.0	190.0	199.0	683.0	480.0	274.0	118.0
SLC4A1	3.0	6.0	39.0	0.0	21.0	3.0	0.0	0.0	2.0	2.0	1.0	0.0
CALCR	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0
HCCS	1015.0	1155.0	706.0	524.0	470.0	525.0	291.0	289.0	1007.0	850.0	458.0	134.0
DVL2	457.0	449.0	512.0	281.0	398.0	334.0	139.0	138.0	356.0	250.0	107.0	67.0
PRSS22	6724.0	5895.0	2123.0	4133.0	2253.0	3495.0	2276.0	3608.0	3596.0	5048.0	3829.0	2155.0
UPF1	2653.0	2313.0	2010.0	1013.0	1327.0	1735.0	434.0	632.0	1514.0	1153.0	563.0	360.0
SKAP2	42.0	125.0	35.0	49.0	13.0	35.0	29.0	56.0	29.0	20.0	135.0	3.0
SLC25A5	25492.0	14354.0	12330.0	11213.0	7134.0	24375.0	6638.0	7145.0	13080.0	38326.0	16413.0	6497.0
CCDC109B	577.0	1858.0	631.0	432.0	480.0	595.0	202.0	168.0	698.0	854.0	407.0	86.0
HOXA11	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POLR2J	1222.0	7113.0	6906.0	756.0	4911.0	1234.0	392.0	394.0	4475.0	429.0	362.0	205.0
DHX33	517.0	604.0	655.0	291.0	433.0	254.0	127.0	173.0	264.0	259.0	113.0	63.0
MEOX1	30.0	21.0	35.0	3.0	34.0	17.0	4.0	0.0	12.0	121.0	45.0	0.0
THSD7A	273.0	116.0	122.0	121.0	390.0	126.0	48.0	31.0	80.0	30.0	49.0	15.0
LIG3	649.0	715.0	453.0	232.0	264.0	318.0	101.0	108.0	422.0	383.0	221.0	71.0
RPAP3	978.0	1762.0	575.0	421.0	237.0	647.0	174.0	206.0	1096.0	483.0	227.0	106.0
ACSM3	61.0	91.0	59.0	29.0	24.0	23.0	15.0	15.0	65.0	27.0	30.0	4.0
AC004381.6	118.0	135.0	129.0	35.0	65.0	96.0	19.0	21.0	271.0	81.0	38.0	12.0
CIAPIN1	727.0	1069.0	633.0	398.0	312.0	444.0	207.0	233.0	808.0	718.0	329.0	142.0
SPPL2B	877.0	1092.0	773.0	319.0	475.0	774.0	127.0	156.0	1047.0	218.0	107.0	135.0
FAM214B	287.0	457.0	513.0	250.0	338.0	203.0	109.0	122.0	311.0	143.0	104.0	40.0
COPZ2	606.0	722.0	475.0	234.0	215.0	400.0	114.0	124.0	249.0	533.0	290.0	66.0
PRKAR2B	9167.0	5526.0	3997.0	3711.0	2672.0	6062.0	1778.0	2213.0	725.0	2905.0	1900.0	1982.0
MSL3	962.0	1375.0	827.0	471.0	383.0	891.0	223.0	260.0	890.0	550.0	311.0	131.0
CREBBP	2880.0	1924.0	1908.0	932.0	1282.0	1185.0	394.0	550.0	833.0	1243.0	634.0	403.0
BZRAP1	478.0	177.0	192.0	143.0	59.0	361.0	76.0	76.0	264.0	72.0	58.0	64.0
MPO	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0
PON1	2.0	1.0	7.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
GCFC2	660.0	647.0	488.0	264.0	459.0	344.0	143.0	172.0	540.0	266.0	138.0	90.0
WDR54	1908.0	4361.0	795.0	398.0	254.0	2068.0	177.0	143.0	8259.0	274.0	234.0	258.0
CROT	1736.0	1194.0	1720.0	892.0	905.0	1216.0	486.0	515.0	1153.0	1397.0	494.0	215.0
ABCB4	12.0	2.0	5.0	2.0	2.0	3.0	0.0	1.0	5.0	5.0	8.0	1.0
KMT2E	4177.0	7941.0	5508.0	2868.0	3569.0	2644.0	1328.0	1505.0	4558.0	2369.0	1676.0	711.0
RHBDD2	4030.0	3924.0	4262.0	2656.0	2843.0	2796.0	1332.0	1150.0	7194.0	1890.0	1104.0	742.0
SOX8	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
IBTK	2832.0	3741.0	4332.0	1784.0	4149.0	1744.0	802.0	948.0	2475.0	1631.0	913.0	360.0
ZNF195	757.0	712.0	457.0	285.0	283.0	309.0	143.0	167.0	341.0	446.0	212.0	102.0
MYCBP2	2686.0	5215.0	3247.0	1520.0	1999.0	1357.0	658.0	853.0	2295.0	1552.0	747.0	366.0
FBXL3	1128.0	765.0	1241.0	503.0	898.0	527.0	231.0	249.0	500.0	717.0	335.0	167.0
ITGAL	42.0	50.0	30.0	26.0	12.0	27.0	10.0	13.0	78.0	24.0	87.0	2.0
PDK2	527.0	721.0	358.0	306.0	233.0	375.0	145.0	201.0	505.0	254.0	138.0	69.0
ITGA3	1258.0	1087.0	1501.0	507.0	589.0	645.0	201.0	149.0	588.0	904.0	253.0	178.0
ZFX	1261.0	1729.0	1228.0	333.0	779.0	421.0	153.0	182.0	431.0	943.0	256.0	145.0
LAMP2	2928.0	2863.0	2818.0	1292.0	1779.0	1633.0	701.0	771.0	1993.0	2247.0	861.0	442.0
ITGA2B	2.0	9.0	21.0	2.0	13.0	0.0	0.0	2.0	8.0	6.0	42.0	2.0
ASB4	0.0	13.0	48.0	1.0	14.0	4.0	1.0	1.0	30.0	4.0	1.0	3.0
GDE1	3202.0	4595.0	6191.0	3253.0	6878.0	1781.0	1493.0	1239.0	3001.0	1731.0	909.0	740.0
C19orf60	3341.0	4300.0	4347.0	2362.0	2316.0	1777.0	1166.0	1414.0	3247.0	1653.0	1151.0	244.0
CRLF1	96.0	122.0	193.0	13.0	44.0	169.0	2.0	24.0	63.0	81.0	33.0	10.0
OSBPL7	870.0	466.0	904.0	567.0	605.0	428.0	254.0	219.0	228.0	160.0	131.0	71.0
TMEM98	1685.0	3384.0	2089.0	996.0	925.0	1269.0	437.0	457.0	2098.0	354.0	205.0	100.0
YBX2	194.0	74.0	154.0	49.0	59.0	45.0	23.0	9.0	80.0	21.0	20.0	9.0
KRT33A	2.0	0.0	0.0	9.0	0.0	7.0	1.0	2.0	0.0	16.0	2.0	1.0
MAP3K14	338.0	167.0	203.0	72.0	114.0	118.0	38.0	46.0	107.0	157.0	195.0	17.0
ABCC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM132A	278.0	207.0	303.0	169.0	183.0	217.0	64.0	123.0	119.0	483.0	80.0	40.0
AP2B1	1354.0	5903.0	1116.0	250.0	247.0	855.0	94.0	131.0	3037.0	506.0	284.0	176.0
TAC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF263	528.0	339.0	478.0	296.0	291.0	256.0	121.0	108.0	279.0	236.0	132.0	56.0
CX3CL1	851.0	2310.0	2138.0	482.0	562.0	292.0	175.0	127.0	466.0	233.0	63.0	35.0
SPATA20	1290.0	473.0	973.0	694.0	749.0	662.0	350.0	337.0	628.0	341.0	141.0	105.0
CACNA1G	0.0	0.0	3.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0
TNFRSF12A	996.0	1693.0	1847.0	687.0	1055.0	683.0	332.0	255.0	1187.0	967.0	971.0	268.0
DLX6	3.0	11.0	3.0	15.0	4.0	4.0	3.0	1.0	9.0	1.0	1.0	1.0
MAP3K9	434.0	553.0	796.0	296.0	487.0	187.0	98.0	114.0	278.0	219.0	170.0	91.0
RALA	1624.0	4490.0	1793.0	1422.0	1047.0	1048.0	744.0	789.0	1976.0	1635.0	1162.0	675.0
BAIAP2L1	2353.0	2780.0	1642.0	918.0	717.0	1556.0	493.0	517.0	1612.0	1051.0	674.0	314.0
KDM7A	1373.0	1708.0	1659.0	584.0	828.0	997.0	295.0	361.0	764.0	693.0	487.0	198.0
ETV1	13.0	112.0	58.0	14.0	22.0	15.0	6.0	8.0	37.0	14.0	9.0	1.0
AGK	547.0	275.0	334.0	248.0	154.0	249.0	121.0	137.0	247.0	292.0	160.0	76.0
ALDH3B1	4264.0	4308.0	3076.0	1939.0	2010.0	2717.0	837.0	848.0	4922.0	897.0	1105.0	461.0
TTC22	647.0	455.0	465.0	373.0	340.0	245.0	158.0	199.0	284.0	300.0	229.0	99.0
PHTF2	691.0	597.0	579.0	240.0	321.0	347.0	116.0	141.0	483.0	488.0	328.0	106.0
CCL26	56.0	104.0	136.0	30.0	65.0	121.0	18.0	8.0	63.0	443.0	280.0	22.0
FARP2	1070.0	874.0	785.0	546.0	617.0	591.0	258.0	339.0	437.0	604.0	321.0	173.0
USH1C	300.0	254.0	107.0	38.0	25.0	78.0	25.0	6.0	252.0	15.0	17.0	20.0
GGCT	2188.0	3525.0	2526.0	1436.0	1933.0	1683.0	770.0	939.0	2456.0	1884.0	975.0	313.0
DBF4	506.0	1060.0	539.0	355.0	363.0	315.0	169.0	173.0	569.0	381.0	234.0	78.0
TBXA2R	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
IFRD1	920.0	1541.0	859.0	515.0	676.0	365.0	239.0	231.0	1371.0	532.0	360.0	234.0
LGALS14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COX10	589.0	446.0	323.0	269.0	236.0	285.0	111.0	123.0	263.0	371.0	236.0	65.0
GTF2IRD1	807.0	439.0	807.0	408.0	449.0	480.0	173.0	217.0	360.0	505.0	178.0	133.0
PAF1	1688.0	1523.0	665.0	571.0	392.0	898.0	319.0	342.0	993.0	1160.0	561.0	158.0
VPS41	1350.0	1308.0	725.0	560.0	452.0	481.0	276.0	303.0	547.0	593.0	361.0	109.0
ARHGAP44	293.0	298.0	448.0	162.0	246.0	141.0	59.0	49.0	214.0	89.0	16.0	30.0
ELAC2	1465.0	824.0	741.0	538.0	515.0	667.0	259.0	264.0	635.0	1053.0	416.0	116.0
SCIN	3327.0	1985.0	1647.0	564.0	1462.0	1395.0	283.0	428.0	1226.0	899.0	588.0	226.0
ARSD	2218.0	3692.0	3870.0	857.0	2113.0	853.0	349.0	468.0	1271.0	883.0	297.0	230.0
PNPLA4	1463.0	2426.0	1600.0	526.0	1133.0	466.0	251.0	223.0	1162.0	564.0	199.0	149.0
MYH13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADIPOR2	976.0	1302.0	1228.0	662.0	880.0	589.0	341.0	417.0	580.0	609.0	365.0	198.0
CDKL3	100.0	402.0	149.0	35.0	61.0	107.0	23.0	25.0	304.0	41.0	19.0	7.0
UPP2	3.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
PRSS21	5.0	15.0	3.0	9.0	0.0	6.0	4.0	6.0	31.0	14.0	11.0	0.0
MARK4	663.0	300.0	468.0	291.0	356.0	256.0	142.0	156.0	193.0	383.0	216.0	106.0
PROM1	5597.0	8888.0	4784.0	934.0	1042.0	3095.0	368.0	469.0	8742.0	461.0	400.0	486.0
CCDC124	3389.0	2882.0	2736.0	2505.0	2269.0	2521.0	1257.0	1259.0	2142.0	2925.0	1446.0	537.0
CEACAM21	6.0	2.0	4.0	3.0	1.0	7.0	2.0	1.0	4.0	4.0	16.0	0.0
PAFAH1B1	3532.0	4287.0	3537.0	2316.0	1848.0	2036.0	1090.0	1403.0	2113.0	2396.0	1527.0	596.0
NOS2	522.0	7740.0	808.0	155.0	202.0	302.0	89.0	78.0	325.0	231.0	135.0	26.0
DNAH9	1615.0	1650.0	534.0	329.0	123.0	1744.0	122.0	89.0	2206.0	208.0	185.0	204.0
KIAA0100	1970.0	1526.0	2230.0	783.0	1052.0	1098.0	384.0	495.0	439.0	879.0	605.0	261.0
SLC13A2	107.0	296.0	110.0	33.0	41.0	111.0	22.0	41.0	40.0	33.0	23.0	8.0
GAS7	279.0	383.0	173.0	104.0	72.0	299.0	32.0	39.0	381.0	65.0	101.0	36.0
TRAPPC6A	1624.0	3055.0	2222.0	957.0	1785.0	681.0	506.0	536.0	2615.0	543.0	378.0	116.0
MATK	23.0	13.0	30.0	21.0	6.0	13.0	10.0	12.0	47.0	21.0	55.0	1.0
CEACAM7	65.0	260.0	191.0	37.0	90.0	29.0	19.0	84.0	36.0	8.0	8.0	35.0
CD79B	9.0	7.0	8.0	4.0	6.0	2.0	1.0	10.0	0.0	7.0	48.0	0.0
SCN4A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ST7L	396.0	336.0	235.0	134.0	99.0	146.0	95.0	110.0	204.0	261.0	122.0	37.0
TKTL1	1.0	3.0	8.0	0.0	6.0	9.0	0.0	0.0	3.0	1.0	1.0	1.0
PAX6	636.0	642.0	751.0	459.0	308.0	219.0	168.0	249.0	235.0	303.0	60.0	125.0
RPUSD1	558.0	495.0	728.0	576.0	742.0	351.0	293.0	269.0	448.0	420.0	192.0	88.0
RHBDF1	506.0	449.0	621.0	410.0	400.0	340.0	185.0	206.0	221.0	393.0	172.0	80.0
LUC7L	1338.0	1276.0	591.0	472.0	438.0	779.0	232.0	316.0	765.0	815.0	447.0	186.0
CACNA2D2	54.0	24.0	40.0	23.0	61.0	32.0	11.0	8.0	11.0	6.0	8.0	8.0
BAIAP3	380.0	605.0	322.0	139.0	62.0	620.0	39.0	83.0	921.0	52.0	45.0	60.0
TSR3	2234.0	2500.0	1783.0	1362.0	1269.0	1294.0	694.0	729.0	415.0	1231.0	624.0	207.0
PIGQ	615.0	638.0	592.0	363.0	404.0	531.0	165.0	157.0	515.0	259.0	123.0	89.0
CRAMP1	315.0	353.0	484.0	182.0	313.0	301.0	83.0	126.0	287.0	157.0	73.0	68.0
TEAD3	713.0	773.0	1822.0	651.0	1032.0	442.0	243.0	308.0	417.0	451.0	226.0	127.0
SELE	10.0	10.0	13.0	9.0	13.0	9.0	4.0	3.0	9.0	2.0	21.0	2.0
DNAJC11	700.0	546.0	283.0	403.0	199.0	385.0	198.0	201.0	320.0	490.0	275.0	98.0
FMO3	3680.0	10967.0	3623.0	1097.0	1684.0	2489.0	570.0	599.0	6232.0	890.0	457.0	514.0
MYLIP	930.0	2365.0	1487.0	948.0	1251.0	581.0	404.0	427.0	2011.0	487.0	132.0	195.0
NOX1	22.0	164.0	83.0	6.0	23.0	41.0	2.0	5.0	22.0	6.0	4.0	3.0
E2F2	44.0	11.0	79.0	15.0	51.0	20.0	8.0	12.0	9.0	131.0	38.0	7.0
PSMB1	11092.0	16952.0	8425.0	6091.0	6072.0	8940.0	3796.0	3790.0	14599.0	10669.0	4728.0	1953.0
SYN1	3.0	6.0	9.0	1.0	0.0	2.0	1.0	1.0	3.0	6.0	12.0	2.0
JARID2	988.0	1478.0	1175.0	662.0	1177.0	591.0	275.0	351.0	670.0	699.0	492.0	234.0
CDKL5	296.0	430.0	419.0	166.0	182.0	139.0	60.0	70.0	178.0	187.0	78.0	52.0
CAMK1G	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
CDK11A	736.0	1552.0	345.0	126.0	205.0	306.0	58.0	130.0	522.0	318.0	115.0	77.0
NADK	1286.0	1392.0	1404.0	792.0	1041.0	838.0	367.0	533.0	712.0	686.0	357.0	113.0
TFAP2B	14.0	10.0	56.0	13.0	11.0	26.0	4.0	15.0	9.0	19.0	2.0	2.0
DLEC1	1112.0	804.0	391.0	132.0	85.0	1045.0	49.0	57.0	1025.0	116.0	96.0	116.0
CYTH3	285.0	140.0	307.0	155.0	250.0	180.0	77.0	96.0	135.0	116.0	59.0	38.0
ADAM22	44.0	28.0	21.0	3.0	9.0	21.0	0.0	2.0	14.0	4.0	6.0	1.0
SYPL1	4345.0	4244.0	4580.0	2391.0	2598.0	2900.0	1201.0	1502.0	2777.0	4426.0	1856.0	644.0
CYB561	2363.0	3706.0	3263.0	1450.0	1610.0	1455.0	666.0	650.0	2414.0	786.0	406.0	285.0
SPAG9	1649.0	2959.0	1575.0	1216.0	958.0	771.0	644.0	590.0	1354.0	1129.0	832.0	371.0
CELSR3	16.0	9.0	25.0	5.0	0.0	11.0	3.0	2.0	4.0	4.0	0.0	2.0
AASS	236.0	324.0	301.0	120.0	273.0	189.0	55.0	75.0	168.0	72.0	49.0	32.0
PLEKHG6	532.0	283.0	481.0	370.0	288.0	325.0	200.0	279.0	293.0	320.0	190.0	80.0
SS18L2	1110.0	2097.0	2354.0	705.0	1558.0	706.0	395.0	431.0	1534.0	676.0	427.0	121.0
MPND	456.0	451.0	387.0	95.0	256.0	289.0	44.0	66.0	139.0	224.0	153.0	44.0
MGST1	12321.0	11053.0	5249.0	4866.0	8098.0	5560.0	2750.0	3671.0	11674.0	4626.0	3456.0	955.0
CRY1	304.0	198.0	229.0	121.0	228.0	166.0	50.0	64.0	304.0	162.0	124.0	47.0
PGLYRP1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
NFIX	3165.0	2411.0	2972.0	1369.0	1528.0	1461.0	553.0	514.0	1222.0	1204.0	527.0	350.0
ST3GAL1	620.0	1618.0	834.0	508.0	569.0	461.0	200.0	339.0	501.0	288.0	282.0	85.0
MMP25	54.0	67.0	40.0	6.0	38.0	26.0	7.0	4.0	20.0	28.0	34.0	7.0
IL32	417.0	3572.0	366.0	333.0	288.0	246.0	138.0	241.0	1005.0	433.0	547.0	24.0
PKD1	1015.0	693.0	1127.0	362.0	605.0	861.0	136.0	174.0	476.0	344.0	180.0	85.0
MAPK8IP2	48.0	64.0	64.0	41.0	57.0	32.0	12.0	20.0	30.0	55.0	18.0	2.0
MED24	2435.0	5698.0	1477.0	574.0	763.0	1357.0	275.0	515.0	2380.0	1155.0	551.0	236.0
RHOBTB2	199.0	168.0	310.0	135.0	150.0	136.0	60.0	69.0	123.0	55.0	23.0	28.0
HEATR5B	880.0	570.0	552.0	298.0	292.0	415.0	155.0	189.0	375.0	390.0	188.0	96.0
SEC62	6005.0	15334.0	11681.0	4384.0	6272.0	9673.0	2222.0	2520.0	11640.0	4109.0	1927.0	2156.0
RPS20	6101.0	97671.0	113975.0	4845.0	75747.0	5759.0	2149.0	2120.0	61533.0	5470.0	3217.0	833.0
CSDE1	12249.0	9137.0	9209.0	4847.0	6593.0	4648.0	2191.0	2546.0	4889.0	7433.0	4432.0	1477.0
UBE3C	1503.0	1394.0	1439.0	923.0	874.0	945.0	399.0	495.0	571.0	862.0	426.0	181.0
REV3L	961.0	1738.0	931.0	284.0	532.0	810.0	141.0	196.0	1080.0	518.0	209.0	215.0
TENM1	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
PAX7	1363.0	1716.0	1875.0	516.0	964.0	1073.0	245.0	293.0	601.0	644.0	275.0	145.0
MASP2	27.0	1.0	3.0	3.0	2.0	6.0	1.0	1.0	1.0	9.0	6.0	4.0
IYD	321.0	140.0	383.0	160.0	212.0	93.0	75.0	69.0	150.0	65.0	58.0	33.0
FAM76A	714.0	795.0	784.0	372.0	594.0	302.0	196.0	164.0	665.0	300.0	150.0	61.0
TRAF3IP3	77.0	17.0	46.0	32.0	37.0	6.0	15.0	24.0	110.0	48.0	109.0	6.0
POMT2	730.0	766.0	352.0	194.0	160.0	336.0	71.0	80.0	1197.0	114.0	91.0	69.0
VTA1	1108.0	1044.0	885.0	525.0	567.0	694.0	280.0	268.0	675.0	738.0	394.0	183.0
MLXIPL	5.0	12.0	177.0	2.0	48.0	6.0	0.0	0.0	5.0	2.0	1.0	0.0
BAZ1B	1765.0	4297.0	1197.0	782.0	722.0	995.0	357.0	452.0	1199.0	1104.0	500.0	221.0
RANBP9	1559.0	751.0	1423.0	611.0	1063.0	987.0	215.0	305.0	690.0	1206.0	554.0	513.0
ETV7	428.0	2021.0	589.0	454.0	423.0	183.0	206.0	139.0	512.0	172.0	58.0	43.0
SPRTN	758.0	882.0	710.0	362.0	478.0	317.0	166.0	209.0	548.0	450.0	255.0	93.0
