	GRO-03_biopsy	GRO-10_biopsy	GRO-08_biopsy	D372_Biop_Int2	GRO-06_biopsy	D326_Biop_Pro1	GRO-09_biopsy	D367_Biop_Pro1	D372_Biop_Pro1	D353_Biop_Pro1	D339_Biop_Int1	D354_Biop_Int2	GRO-04_biopsy	GRO-07_biopsy
LAP3	2030.0	2867.0	1902.0	1028.0	3998.0	896.0	4738.0	1245.0	1559.0	512.0	651.0	414.0	2055.0	3677.0
CD99	6496.0	5920.0	3803.0	1533.0	4312.0	2990.0	6975.0	2122.0	2691.0	682.0	1250.0	954.0	6037.0	5500.0
HS3ST1	2214.0	2402.0	1212.0	1076.0	3334.0	695.0	3981.0	778.0	954.0	133.0	333.0	157.0	1623.0	3223.0
AOC1	7.0	24.0	6.0	8.0	7.0	1.0	15.0	0.0	7.0	2.0	17.0	1.0	8.0	11.0
WNT16	0.0	8.0	1.0	2.0	7.0	0.0	3.0	0.0	1.0	3.0	5.0	0.0	4.0	2.0
HECW1	19.0	20.0	9.0	8.0	30.0	19.0	10.0	13.0	9.0	3.0	2.0	3.0	6.0	23.0
MAD1L1	634.0	399.0	284.0	195.0	359.0	261.0	778.0	205.0	604.0	110.0	128.0	69.0	350.0	416.0
LASP1	1586.0	1599.0	1002.0	284.0	1948.0	554.0	2148.0	488.0	525.0	183.0	337.0	127.0	1022.0	2008.0
SNX11	295.0	210.0	150.0	66.0	209.0	113.0	407.0	30.0	85.0	43.0	50.0	13.0	160.0	226.0
TMEM176A	203.0	461.0	252.0	73.0	69.0	44.0	1214.0	52.0	121.0	4.0	17.0	17.0	96.0	297.0
M6PR	2742.0	2056.0	1947.0	909.0	2263.0	1178.0	3049.0	984.0	1752.0	527.0	431.0	542.0	1586.0	2463.0
KLHL13	283.0	287.0	152.0	106.0	283.0	126.0	164.0	111.0	173.0	102.0	66.0	54.0	201.0	351.0
CYP26B1	20.0	24.0	11.0	9.0	13.0	2.0	37.0	1.0	0.0	1.0	4.0	2.0	9.0	9.0
ICA1	834.0	804.0	585.0	173.0	1043.0	403.0	1381.0	238.0	402.0	132.0	152.0	146.0	508.0	1211.0
DBNDD1	31.0	42.0	29.0	16.0	35.0	3.0	46.0	21.0	14.0	2.0	9.0	7.0	30.0	59.0
ALS2	239.0	320.0	292.0	47.0	472.0	73.0	313.0	79.0	79.0	20.0	9.0	15.0	239.0	438.0
CASP10	431.0	322.0	421.0	95.0	514.0	74.0	712.0	66.0	122.0	14.0	32.0	42.0	210.0	556.0
CFLAR	4915.0	4319.0	4901.0	531.0	9202.0	1443.0	7777.0	919.0	1257.0	248.0	369.0	352.0	3304.0	8585.0
TFPI	1098.0	1992.0	772.0	557.0	880.0	338.0	1996.0	183.0	337.0	65.0	479.0	41.0	467.0	794.0
NDUFAF7	570.0	350.0	285.0	87.0	464.0	134.0	476.0	176.0	185.0	40.0	103.0	21.0	334.0	416.0
RBM5	3510.0	2701.0	2005.0	178.0	4507.0	834.0	3309.0	548.0	981.0	129.0	236.0	138.0	1677.0	3993.0
MTMR7	21.0	15.0	22.0	3.0	23.0	1.0	8.0	2.0	5.0	3.0	0.0	0.0	14.0	79.0
SLC7A2	1067.0	1465.0	1670.0	67.0	3125.0	291.0	876.0	203.0	304.0	406.0	77.0	187.0	1124.0	3503.0
ARF5	5143.0	3193.0	1677.0	1665.0	2066.0	1777.0	3273.0	2167.0	1636.0	716.0	1193.0	1072.0	2626.0	1677.0
SARM1	233.0	163.0	174.0	69.0	253.0	93.0	366.0	64.0	151.0	25.0	9.0	46.0	135.0	254.0
POLDIP2	1559.0	933.0	573.0	558.0	851.0	712.0	2523.0	627.0	1181.0	295.0	528.0	330.0	794.0	996.0
PLXND1	85.0	252.0	106.0	77.0	156.0	80.0	424.0	35.0	43.0	3.0	65.0	10.0	96.0	167.0
AK2	3437.0	2143.0	1584.0	1375.0	2226.0	1518.0	5184.0	1443.0	2395.0	392.0	1241.0	491.0	2468.0	2441.0
CD38	346.0	953.0	507.0	99.0	980.0	102.0	712.0	65.0	116.0	60.0	24.0	87.0	794.0	1146.0
FKBP4	1498.0	844.0	869.0	641.0	1289.0	895.0	2503.0	682.0	1381.0	335.0	463.0	248.0	787.0	1255.0
KDM1A	1048.0	939.0	619.0	103.0	1046.0	299.0	920.0	230.0	346.0	140.0	85.0	106.0	439.0	998.0
RBM6	2088.0	2514.0	1798.0	287.0	3031.0	1079.0	3022.0	559.0	1121.0	206.0	1.0	236.0	1353.0	3293.0
CAMKK1	67.0	91.0	77.0	24.0	112.0	42.0	106.0	18.0	74.0	8.0	14.0	4.0	38.0	102.0
RECQL	1068.0	1239.0	904.0	217.0	1153.0	313.0	1426.0	333.0	460.0	155.0	201.0	118.0	734.0	1362.0
VPS50	374.0	290.0	320.0	42.0	374.0	100.0	386.0	106.0	183.0	71.0	103.0	52.0	199.0	378.0
HSPB6	27.0	82.0	21.0	69.0	16.0	5.0	56.0	1.0	15.0	0.0	1.0	4.0	15.0	16.0
ARHGAP33	77.0	128.0	111.0	0.0	170.0	35.0	133.0	29.0	22.0	13.0	20.0	24.0	91.0	171.0
NDUFAB1	6414.0	5947.0	4231.0	2828.0	5396.0	3291.0	11326.0	3674.0	5343.0	2248.0	2759.0	1909.0	7586.0	6667.0
PDK4	683.0	598.0	515.0	96.0	1204.0	97.0	421.0	101.0	142.0	129.0	65.0	53.0	636.0	1090.0
SLC22A16	14.0	13.0	11.0	23.0	33.0	7.0	9.0	60.0	6.0	75.0	7.0	97.0	42.0	41.0
ZMYND10	2270.0	3472.0	3197.0	376.0	4125.0	707.0	3801.0	374.0	830.0	738.0	161.0	685.0	5421.0	6512.0
ABCB5	3.0	4.0	9.0	44.0	60.0	43.0	8.0	28.0	33.0	4.0	5.0	21.0	2.0	110.0
ARX	89.0	212.0	188.0	5.0	229.0	38.0	74.0	4.0	8.0	28.0	5.0	41.0	150.0	407.0
SLC25A13	577.0	545.0	458.0	63.0	788.0	180.0	909.0	160.0	140.0	82.0	81.0	51.0	433.0	1000.0
ST7	479.0	302.0	221.0	204.0	341.0	184.0	523.0	217.0	283.0	68.0	25.0	117.0	259.0	398.0
CDC27	1670.0	1173.0	791.0	197.0	1019.0	299.0	1616.0	255.0	339.0	77.0	141.0	101.0	796.0	1149.0
SLC4A1	10.0	7.0	10.0	23.0	33.0	58.0	7.0	23.0	8.0	13.0	19.0	9.0	3.0	33.0
CALCR	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
HCCS	884.0	713.0	404.0	323.0	633.0	273.0	1299.0	445.0	536.0	168.0	374.0	163.0	631.0	677.0
DVL2	713.0	474.0	362.0	274.0	533.0	328.0	617.0	255.0	625.0	109.0	98.0	78.0	311.0	525.0
PRSS22	2567.0	885.0	1006.0	442.0	1210.0	377.0	2320.0	369.0	590.0	68.0	235.0	116.0	1265.0	1412.0
UPF1	1276.0	1277.0	915.0	125.0	2334.0	230.0	1447.0	252.0	239.0	146.0	157.0	50.0	998.0	2321.0
SKAP2	670.0	1290.0	983.0	106.0	1736.0	320.0	1704.0	202.0	406.0	163.0	151.0	49.0	662.0	2001.0
SLC25A5	21415.0	10731.0	7915.0	12183.0	12200.0	11065.0	29467.0	14742.0	21649.0	8991.0	11751.0	7007.0	10184.0	12861.0
CCDC109B	688.0	839.0	439.0	248.0	546.0	212.0	1956.0	259.0	288.0	83.0	197.0	46.0	573.0	584.0
HOXA11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POLR2J	3052.0	4029.0	2331.0	1710.0	3069.0	2349.0	8144.0	2042.0	3168.0	987.0	1709.0	845.0	3019.0	3601.0
DHX33	450.0	465.0	242.0	87.0	620.0	186.0	791.0	179.0	217.0	27.0	88.0	28.0	233.0	671.0
MEOX1	64.0	391.0	108.0	322.0	43.0	121.0	325.0	68.0	90.0	8.0	134.0	14.0	84.0	104.0
THSD7A	587.0	464.0	435.0	76.0	485.0	167.0	593.0	18.0	51.0	18.0	90.0	57.0	170.0	516.0
LIG3	420.0	519.0	473.0	133.0	838.0	234.0	613.0	170.0	243.0	131.0	28.0	100.0	400.0	828.0
RPAP3	839.0	1118.0	1096.0	242.0	1858.0	274.0	913.0	263.0	322.0	161.0	175.0	97.0	848.0	1768.0
ACSM3	324.0	145.0	135.0	143.0	187.0	239.0	147.0	138.0	309.0	69.0	49.0	32.0	111.0	178.0
AC004381.6	60.0	109.0	87.0	14.0	170.0	48.0	125.0	63.0	79.0	22.0	30.0	51.0	129.0	108.0
CIAPIN1	872.0	540.0	404.0	255.0	485.0	263.0	1601.0	291.0	477.0	126.0	153.0	113.0	613.0	648.0
SPPL2B	1043.0	975.0	895.0	44.0	1075.0	199.0	1010.0	68.0	109.0	67.0	39.0	53.0	689.0	1139.0
FAM214B	242.0	282.0	186.0	82.0	289.0	105.0	374.0	71.0	165.0	44.0	83.0	34.0	179.0	329.0
COPZ2	485.0	318.0	122.0	20.0	182.0	134.0	970.0	73.0	136.0	16.0	11.0	9.0	60.0	295.0
PRKAR2B	192.0	163.0	224.0	15.0	185.0	31.0	516.0	37.0	26.0	19.0	24.0	39.0	111.0	442.0
MSL3	824.0	1128.0	878.0	215.0	1063.0	325.0	1375.0	192.0	423.0	153.0	29.0	138.0	774.0	1375.0
CREBBP	2219.0	1606.0	1286.0	202.0	2401.0	431.0	2096.0	526.0	548.0	182.0	131.0	129.0	1033.0	2354.0
BZRAP1	207.0	260.0	189.0	42.0	355.0	30.0	206.0	21.0	37.0	40.0	11.0	34.0	204.0	365.0
MPO	1.0	3.0	1.0	0.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0
PON1	8.0	8.0	5.0	0.0	16.0	4.0	3.0	4.0	2.0	4.0	0.0	0.0	6.0	3.0
GCFC2	754.0	538.0	484.0	147.0	684.0	221.0	658.0	235.0	417.0	123.0	67.0	77.0	477.0	711.0
WDR54	2828.0	4140.0	2851.0	613.0	3545.0	858.0	4400.0	486.0	1316.0	770.0	335.0	805.0	5586.0	5784.0
CROT	1326.0	1269.0	632.0	396.0	1558.0	550.0	955.0	565.0	809.0	220.0	451.0	181.0	814.0	1595.0
ABCB4	19.0	22.0	16.0	3.0	17.0	10.0	31.0	5.0	7.0	0.0	4.0	5.0	5.0	35.0
KMT2E	8475.0	6492.0	4816.0	2015.0	7054.0	3437.0	9344.0	2146.0	3624.0	702.0	933.0	980.0	5973.0	8673.0
RHBDD2	2841.0	2305.0	1483.0	884.0	2163.0	1013.0	3450.0	618.0	2180.0	299.0	524.0	246.0	2649.0	3128.0
SOX8	6.0	3.0	3.0	2.0	6.0	1.0	12.0	1.0	0.0	0.0	0.0	0.0	3.0	5.0
IBTK	1922.0	1497.0	1181.0	176.0	2028.0	390.0	1842.0	366.0	375.0	168.0	303.0	134.0	965.0	2010.0
ZNF195	717.0	494.0	422.0	271.0	635.0	321.0	749.0	279.0	503.0	75.0	190.0	88.0	412.0	600.0
MYCBP2	3963.0	3746.0	2471.0	467.0	5268.0	1208.0	6859.0	836.0	1129.0	178.0	548.0	160.0	2133.0	5675.0
FBXL3	1833.0	1149.0	1015.0	667.0	1324.0	646.0	1258.0	523.0	1227.0	507.0	333.0	376.0	608.0	1471.0
ITGAL	113.0	262.0	252.0	4.0	362.0	15.0	567.0	5.0	10.0	5.0	3.0	3.0	320.0	378.0
PDK2	1133.0	542.0	623.0	208.0	499.0	414.0	1068.0	247.0	522.0	102.0	178.0	130.0	499.0	674.0
ITGA3	1303.0	1204.0	835.0	197.0	1982.0	563.0	2450.0	367.0	554.0	117.0	95.0	148.0	703.0	2179.0
ZFX	1395.0	967.0	722.0	227.0	1108.0	339.0	1657.0	252.0	351.0	67.0	94.0	53.0	624.0	1128.0
LAMP2	2800.0	2151.0	1565.0	786.0	2153.0	963.0	3430.0	1193.0	1393.0	351.0	773.0	316.0	1470.0	2316.0
ITGA2B	44.0	39.0	20.0	20.0	28.0	20.0	27.0	16.0	4.0	7.0	22.0	0.0	17.0	44.0
ASB4	52.0	50.0	38.0	8.0	61.0	10.0	25.0	6.0	17.0	14.0	8.0	6.0	49.0	51.0
GDE1	2735.0	2217.0	1482.0	500.0	2422.0	754.0	4374.0	565.0	1014.0	112.0	402.0	167.0	1414.0	3617.0
C19orf60	5245.0	3366.0	2334.0	1418.0	2606.0	1804.0	7351.0	1591.0	2783.0	791.0	937.0	478.0	2922.0	3506.0
CRLF1	44.0	184.0	42.0	6.0	81.0	19.0	117.0	9.0	33.0	14.0	9.0	1.0	35.0	151.0
OSBPL7	151.0	162.0	106.0	15.0	167.0	61.0	280.0	19.0	109.0	15.0	16.0	28.0	101.0	212.0
TMEM98	2949.0	2318.0	1482.0	951.0	1464.0	1537.0	3327.0	1722.0	2439.0	534.0	395.0	616.0	2084.0	2376.0
YBX2	23.0	13.0	9.0	5.0	18.0	3.0	18.0	4.0	16.0	4.0	0.0	4.0	13.0	28.0
KRT33A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP3K14	430.0	332.0	326.0	30.0	460.0	103.0	530.0	120.0	180.0	49.0	25.0	18.0	154.0	533.0
ABCC8	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
TMEM132A	315.0	300.0	220.0	129.0	294.0	216.0	803.0	100.0	243.0	48.0	14.0	33.0	138.0	292.0
AP2B1	830.0	2468.0	1757.0	219.0	4856.0	339.0	3597.0	449.0	373.0	166.0	140.0	94.0	1434.0	5050.0
TAC1	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0
ZNF263	531.0	343.0	237.0	125.0	329.0	178.0	412.0	118.0	285.0	74.0	86.0	60.0	217.0	375.0
CX3CL1	2659.0	2101.0	1720.0	184.0	4402.0	879.0	2763.0	794.0	782.0	383.0	194.0	307.0	1080.0	3251.0
SPATA20	1108.0	636.0	575.0	314.0	634.0	534.0	634.0	165.0	825.0	131.0	212.0	158.0	420.0	922.0
CACNA1G	10.0	4.0	9.0	1.0	14.0	0.0	4.0	1.0	4.0	0.0	0.0	1.0	3.0	2.0
TNFRSF12A	8831.0	1456.0	1752.0	216.0	2161.0	133.0	3645.0	319.0	212.0	113.0	82.0	64.0	1855.0	2781.0
DLX6	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP3K9	210.0	243.0	90.0	4.0	227.0	124.0	334.0	86.0	98.0	0.0	41.0	31.0	124.0	351.0
RALA	1737.0	1524.0	880.0	323.0	1550.0	625.0	3840.0	415.0	986.0	162.0	383.0	171.0	1324.0	1795.0
BAIAP2L1	1153.0	1338.0	1250.0	149.0	2159.0	350.0	1332.0	237.0	445.0	216.0	87.0	171.0	1089.0	2519.0
KDM7A	1426.0	1034.0	910.0	65.0	1338.0	262.0	1045.0	183.0	193.0	134.0	168.0	51.0	533.0	1434.0
ETV1	302.0	340.0	213.0	89.0	284.0	133.0	371.0	80.0	199.0	53.0	72.0	48.0	134.0	260.0
AGK	292.0	239.0	259.0	107.0	349.0	125.0	316.0	82.0	114.0	63.0	84.0	54.0	214.0	319.0
ALDH3B1	1535.0	3274.0	2709.0	137.0	5221.0	515.0	1219.0	271.0	372.0	402.0	119.0	357.0	2774.0	5803.0
TTC22	289.0	239.0	182.0	48.0	342.0	111.0	331.0	117.0	173.0	33.0	65.0	29.0	165.0	386.0
PHTF2	683.0	611.0	479.0	71.0	745.0	122.0	1034.0	132.0	154.0	41.0	87.0	33.0	425.0	674.0
CCL26	77.0	222.0	83.0	1660.0	67.0	111.0	83.0	18.0	174.0	14.0	304.0	8.0	22.0	94.0
FARP2	461.0	481.0	495.0	20.0	889.0	120.0	572.0	132.0	104.0	37.0	75.0	72.0	334.0	990.0
USH1C	76.0	97.0	115.0	3.0	205.0	19.0	101.0	13.0	37.0	20.0	6.0	5.0	116.0	284.0
GGCT	2091.0	1951.0	1097.0	638.0	1642.0	1002.0	3511.0	1000.0	1494.0	404.0	1040.0	327.0	1584.0	2123.0
DBF4	756.0	692.0	490.0	140.0	835.0	186.0	1139.0	139.0	299.0	49.0	103.0	75.0	756.0	822.0
TBXA2R	18.0	41.0	15.0	36.0	14.0	6.0	70.0	8.0	13.0	2.0	3.0	1.0	13.0	18.0
IFRD1	6944.0	3706.0	2738.0	192.0	4500.0	408.0	3481.0	266.0	461.0	111.0	197.0	120.0	2370.0	4887.0
LGALS14	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COX10	429.0	322.0	227.0	144.0	307.0	154.0	541.0	153.0	152.0	42.0	71.0	57.0	244.0	366.0
GTF2IRD1	490.0	328.0	281.0	46.0	587.0	222.0	281.0	172.0	292.0	13.0	84.0	64.0	197.0	568.0
PAF1	1510.0	1181.0	880.0	342.0	1437.0	581.0	1718.0	346.0	966.0	215.0	130.0	221.0	1003.0	1488.0
VPS41	1115.0	656.0	674.0	304.0	992.0	253.0	1294.0	290.0	341.0	48.0	88.0	118.0	554.0	1045.0
ARHGAP44	248.0	280.0	182.0	41.0	421.0	137.0	236.0	115.0	126.0	28.0	26.0	71.0	188.0	407.0
ELAC2	714.0	443.0	381.0	217.0	732.0	272.0	1180.0	101.0	489.0	149.0	103.0	118.0	406.0	704.0
SCIN	589.0	1008.0	515.0	193.0	1501.0	226.0	378.0	158.0	297.0	116.0	296.0	40.0	494.0	1374.0
ARSD	1537.0	1507.0	985.0	229.0	2473.0	678.0	3169.0	349.0	772.0	200.0	204.0	141.0	951.0	2660.0
PNPLA4	1488.0	795.0	567.0	583.0	1039.0	575.0	2638.0	480.0	1323.0	391.0	414.0	222.0	859.0	966.0
MYH13	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
ADIPOR2	1550.0	1042.0	886.0	171.0	1326.0	361.0	1261.0	318.0	370.0	42.0	113.0	71.0	658.0	1386.0
CDKL3	83.0	145.0	150.0	71.0	182.0	95.0	116.0	83.0	134.0	53.0	41.0	58.0	144.0	225.0
UPP2	3.0	6.0	6.0	19.0	5.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	5.0	6.0
PRSS21	243.0	63.0	59.0	78.0	136.0	10.0	480.0	13.0	198.0	130.0	67.0	52.0	114.0	402.0
MARK4	294.0	215.0	167.0	62.0	298.0	97.0	413.0	81.0	102.0	42.0	50.0	25.0	123.0	351.0
PROM1	1227.0	3151.0	1970.0	103.0	3451.0	269.0	4099.0	467.0	302.0	400.0	116.0	197.0	2732.0	4004.0
CCDC124	1836.0	1330.0	893.0	755.0	1105.0	910.0	2682.0	824.0	1497.0	401.0	761.0	374.0	1485.0	1371.0
CEACAM21	25.0	17.0	19.0	3.0	12.0	5.0	83.0	2.0	3.0	0.0	1.0	1.0	27.0	17.0
PAFAH1B1	4888.0	2724.0	2640.0	359.0	3617.0	839.0	3535.0	768.0	1117.0	459.0	362.0	358.0	2508.0	3479.0
NOS2	402.0	90.0	281.0	1166.0	777.0	233.0	347.0	233.0	410.0	112.0	174.0	38.0	193.0	527.0
DNAH9	1031.0	2119.0	2217.0	121.0	3368.0	403.0	1204.0	162.0	352.0	446.0	89.0	334.0	2112.0	3950.0
KIAA0100	698.0	485.0	669.0	164.0	1360.0	293.0	1425.0	297.0	357.0	81.0	120.0	92.0	298.0	1191.0
SLC13A2	70.0	37.0	96.0	8.0	181.0	57.0	206.0	125.0	36.0	7.0	34.0	13.0	79.0	128.0
GAS7	184.0	513.0	354.0	37.0	532.0	105.0	555.0	39.0	96.0	32.0	19.0	52.0	328.0	900.0
TRAPPC6A	3669.0	2209.0	1249.0	976.0	1703.0	1532.0	3499.0	1352.0	2604.0	685.0	990.0	592.0	2126.0	2194.0
MATK	141.0	249.0	199.0	15.0	136.0	35.0	445.0	6.0	10.0	6.0	0.0	2.0	407.0	195.0
CEACAM7	21.0	21.0	34.0	2.0	41.0	5.0	61.0	23.0	6.0	4.0	8.0	3.0	32.0	47.0
CD79B	138.0	540.0	148.0	167.0	78.0	56.0	789.0	39.0	80.0	3.0	74.0	9.0	141.0	151.0
SCN4A	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ST7L	942.0	515.0	510.0	244.0	664.0	334.0	654.0	238.0	522.0	105.0	111.0	87.0	404.0	625.0
TKTL1	7.0	6.0	17.0	2.0	5.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0
PAX6	3.0	1.0	1.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
RPUSD1	471.0	280.0	209.0	82.0	234.0	160.0	754.0	161.0	295.0	43.0	144.0	58.0	251.0	273.0
RHBDF1	413.0	261.0	169.0	81.0	204.0	158.0	493.0	77.0	205.0	5.0	81.0	63.0	122.0	300.0
LUC7L	1537.0	1052.0	818.0	54.0	1455.0	289.0	1583.0	166.0	293.0	40.0	78.0	109.0	921.0	1404.0
CACNA2D2	33.0	19.0	23.0	6.0	41.0	16.0	34.0	5.0	18.0	0.0	0.0	5.0	10.0	23.0
BAIAP3	244.0	550.0	463.0	18.0	892.0	71.0	327.0	62.0	112.0	55.0	37.0	91.0	363.0	973.0
TSR3	2100.0	1327.0	696.0	252.0	1243.0	473.0	3243.0	267.0	721.0	97.0	104.0	112.0	246.0	1425.0
PIGQ	411.0	395.0	343.0	40.0	442.0	130.0	641.0	111.0	142.0	53.0	41.0	69.0	356.0	544.0
CRAMP1	323.0	312.0	227.0	4.0	484.0	72.0	302.0	107.0	134.0	46.0	9.0	57.0	190.0	465.0
TEAD3	622.0	470.0	302.0	174.0	682.0	191.0	467.0	218.0	350.0	86.0	2.0	62.0	255.0	589.0
SELE	63.0	1754.0	509.0	16.0	257.0	30.0	1027.0	68.0	9.0	2.0	13.0	7.0	75.0	410.0
DNAJC11	248.0	355.0	362.0	59.0	442.0	118.0	584.0	109.0	142.0	66.0	73.0	68.0	195.0	308.0
FMO3	2027.0	955.0	1289.0	274.0	1666.0	744.0	1191.0	483.0	547.0	199.0	1023.0	353.0	1232.0	1943.0
MYLIP	5770.0	2535.0	1849.0	252.0	2964.0	593.0	3447.0	339.0	547.0	77.0	248.0	47.0	2070.0	3921.0
NOX1	3.0	8.0	18.0	2.0	28.0	2.0	34.0	14.0	2.0	0.0	0.0	2.0	7.0	14.0
E2F2	32.0	28.0	3.0	11.0	9.0	4.0	126.0	12.0	15.0	0.0	26.0	3.0	4.0	11.0
PSMB1	11952.0	9134.0	5937.0	4527.0	7543.0	5665.0	22739.0	5983.0	9478.0	2718.0	4892.0	2273.0	10435.0	9805.0
SYN1	27.0	15.0	29.0	17.0	22.0	12.0	65.0	0.0	37.0	5.0	5.0	9.0	6.0	28.0
JARID2	677.0	723.0	504.0	93.0	909.0	163.0	1204.0	218.0	151.0	52.0	110.0	40.0	430.0	882.0
CDKL5	267.0	253.0	184.0	30.0	418.0	89.0	319.0	25.0	74.0	10.0	50.0	19.0	163.0	455.0
CAMK1G	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0
CDK11A	101.0	393.0	405.0	178.0	681.0	428.0	384.0	193.0	325.0	27.0	132.0	37.0	338.0	510.0
NADK	609.0	541.0	458.0	139.0	932.0	236.0	1118.0	244.0	240.0	56.0	111.0	89.0	424.0	939.0
TFAP2B	2.0	2.0	14.0	2.0	14.0	2.0	8.0	1.0	20.0	0.0	0.0	0.0	5.0	3.0
DLEC1	525.0	931.0	780.0	59.0	1391.0	184.0	655.0	114.0	177.0	196.0	43.0	146.0	776.0	1937.0
CYTH3	126.0	177.0	132.0	54.0	208.0	49.0	192.0	53.0	43.0	14.0	34.0	16.0	77.0	215.0
ADAM22	92.0	53.0	40.0	4.0	80.0	22.0	48.0	7.0	4.0	13.0	17.0	7.0	29.0	77.0
SYPL1	6282.0	5394.0	2796.0	2587.0	3840.0	3039.0	6681.0	2747.0	4747.0	1742.0	2880.0	1039.0	2820.0	4592.0
CYB561	1757.0	2010.0	1613.0	279.0	2952.0	627.0	3053.0	499.0	635.0	184.0	196.0	188.0	1471.0	3600.0
SPAG9	3308.0	2240.0	1825.0	209.0	3908.0	454.0	2917.0	366.0	350.0	83.0	157.0	131.0	1224.0	3818.0
CELSR3	13.0	20.0	9.0	2.0	9.0	2.0	17.0	7.0	1.0	1.0	3.0	7.0	9.0	12.0
AASS	798.0	480.0	336.0	43.0	482.0	236.0	682.0	200.0	142.0	38.0	124.0	33.0	233.0	498.0
